genename,F1,F2,F3,F4,F5,F6,F7,S1,S2,S3,S4,S5,S6,S7,Space
rbm8a,0.44684822,0.761651311,0.713648061,1.579850847,0.043070864,0.690249334,0.203064317,0.354230876,0.192076776,0.371847799,0.193013046,0.188815231,0.209510656,0.238957891,0
cdv3,0.458576436,0.43420276,0.551819032,0.314503537,0.151435575,0.571981581,0.665176834,1.193124406,1.291563011,1.493953712,1.741953949,1.977721591,1.617499944,1.039675577,0
eloc,0.114876375,0.479223033,0.241704693,0.221382746,0,0.230625563,1.417511821,1.756347873,1.378645202,1.688671373,1.733771119,1.352355912,1.02186157,1.375015372,0
ktn1,0.422144757,0.949981801,1.34224763,1.414091114,1.120455555,0.552737385,0,0.275826006,0.161459479,0.297659714,0.309279894,0.387377515,0.437137127,0.338852021,0
trip12,0.390145078,0.144899298,2.384463501,0,0.943466855,0.51443025,0,0.337680351,0.41288567,0.333563898,0.260124877,0.541091888,0.402625948,0.363333522,0
rgs6,0.583958595,0.812788955,0.775194069,0.522221748,0.577008052,0.385707339,0.549562402,1.18158999,1.130235661,1.280027265,1.312461442,1.153194098,1.076045539,1.231844165,0
lsamp,4.286515568,6.736106028,5.413295342,4.275463512,2.52060346,2.737286837,6.406883038,1.099911598,2.209418546,2.221579123,1.274219266,1.18342259,1.482966753,1.744663624,0
dhx9,9.515653052,30.25167632,23.05360481,18.29140181,21.39638295,10.68599909,4.05572343,0.449626215,1.298164795,0.756842893,0.599711262,0.744315732,0.369165586,0.407627938,0
abi2,1.094913211,1.102128505,1.143455131,0.735929135,0.695642787,0.716534703,1.735056294,7.950425757,4.627109765,5.080998102,5.993471867,7.053075311,7.626393731,8.833365898,0
mag,3.987285267,7.372589589,6.426339005,6.372132829,4.811917487,5.257261146,1.666599532,0.207961096,0.59157378,0.594149067,0.557197174,0.413365617,0.389399576,0.239417861,0
nfasc,5.531512451,6.951392233,6.725631676,5.787913372,4.169189522,4.468610589,3.27437361,1.938206262,2.830642323,2.590991125,2.403226889,1.567538025,1.536422821,1.869045112,0
clasp1,1.605719333,3.290684584,3.903303126,2.957359081,2.234854511,1.568670592,1.821787019,0.718877443,1.809260596,1.763134916,1.708696364,1.229026294,0.94244331,1.129561759,0
iqsec1,1.114375541,2.067703385,1.790659457,1.831583079,1.713352798,1.087256861,1.911010436,0.45186476,1.269532619,1.55059562,1.602954889,1.162956213,0.724055431,1.110379504,0
kif1a,1.752977935,1.365560976,1.374592462,0.710957172,0.536761292,1.284842115,0.766728145,4.473773966,4.33505348,4.773682761,4.963976502,4.214289685,3.9718916,4.803055806,0
tns1,0.249634452,1.611199118,0.933474284,0.617903127,0.43316101,0.442707524,0.943094415,0.504766747,0.68077918,0.890100471,0.435240903,0.561241687,0.248806607,0.312273205,0
bzw1,0.093289102,0.356218546,0.208951206,0.206174824,0.175277902,0.201062559,0.119133504,0.905118166,0.735042699,0.81016909,0.723306067,0.637257141,0.680168729,0.875865996,0
agap1,0.269241395,0.356190317,0.3513581,0.277309744,0.170705807,0.347424044,0.237781775,0.271558622,0.358293365,0.534834427,0.523318506,0.28963107,0.229816675,0.386002954,0
faim,0.016114834,0.599632099,0.622355914,0,0.228593844,0.062495061,0,0.810003816,0.698604644,0.565285339,0.544683808,0.507164569,0.475756453,0.697814187,0
pcbp4,0,0,1.538858298,1.611892372,1.418355733,0.96764981,7.217177308,1.125813918,0.709597823,0.653895733,0.990111521,0.732194976,0.767689865,0.99059531,0
itm2c,1.467103723,2.372720777,3.258745795,8.101078941,4.16055138,3.842114336,0.953264456,0,0.9448513,1.015945083,0.582364286,0.790916456,0,0.637312622,0
nucks1,0,0.385631016,0.000127652,0.361776364,0.252053301,0.045241661,0,0.291618074,0.206531384,0.281078736,0.266918192,0.324979894,0.195883551,0.139625544,0
col6a3,3.217597126,4.628316538,2.797091259,4.021550441,3.028278262,1.327115642,1.628940691,0.779806136,1.050512691,0.603951799,0.354207011,2.232126733,0.869870331,0.335799766,0
sh3bgrl2,0.998291813,0.407240367,2.557957539,0.643320209,1.476357267,0.867320789,0.191671468,2.387468864,2.296787611,2.199604037,2.175190404,2.088504348,2.61449576,2.430231586,0
ubxn4,0.012044391,0,0.006926441,0.023095559,0.039689654,0.006978941,0,0,0.026095117,0.030737967,0,0.034252697,0.018328956,0.012868111,0
relch,0.705123335,1.007902555,1.2764558,0.892186986,0.871634731,0.80445218,0,2.523883061,2.578815676,2.778836005,3.322060259,3.335660842,3.445144128,3.525303103,0
adrm1b,8.477586421,22.43682014,4.166198209,4.958236784,1.790395201,1.304255018,0,6.144117067,5.662119972,4.66977483,3.435905616,8.465669447,6.284458646,7.166282774,0
rpl9-ps6,1.658497422,2.752066262,3.066520583,1.660362392,2.518004711,1.559299762,1.387023334,2.697199506,1.198361476,2.058490972,2.076129917,2.532094847,2.405362546,2.802826335,0
nova2,0.515363829,0.545025387,1.354492794,1.771443642,1.332412345,0.361049076,0,1.142858394,0.628027876,0.830467753,0.959156539,0.924616669,0.973341835,0.958131563,0
trappc8,2.714077108,0.852434361,1.05809777,0.502071595,0,8.16738506,0.181666232,0.943965138,1.608332492,1.62580583,1.393110474,1.651793254,1.233776803,1.374139641,0
rpl36a,0.00742466,0,0.047958358,0.040691128,0.333732636,0.026914386,0,0.490099608,0.698858048,0.735201651,0.504620375,0.83530298,0.619548718,0.392148643,0
gm5478,0.447327179,0.224315132,0.027471054,0.073132664,0.086823304,0.548542352,0,0.18744151,0.054175871,0.05793252,0.016418996,0.112541794,0.276700547,0,0
negr1,9.667152833,3.551613796,4.703009459,4.580063401,7.59208839,9.409914999,3.838998459,0.85125665,1.692201396,1.579826704,1.083560537,0.962537444,1.181152126,1.407124846,0
ahnak2,4.081420112,2.628247218,3.272279723,1.43455185,5.417515085,9.101966952,1.335432711,0.773073956,1.421168284,1.17438897,1.150728122,2.3671292,1.013076526,0.87754605,0
gphn,2.696653033,3.053464327,2.663029064,2.584727473,1.719301666,2.022277172,1.682678849,6.00668839,4.92706802,5.502901383,6.214823032,5.721599211,5.549040369,6.536939388,0
actn1,3.936119234,4.154366626,4.821727407,2.862083621,4.175814948,5.701736756,1.767145184,0.954490183,0.682678481,0.69852762,0.744756346,0.677180353,0.759447207,0.867200225,0
gm27029,0.070632168,1.96396106,0.302586086,0.394813606,2.550752542,0.122220351,0,2.401086734,2.489523173,2.030342424,2.485065964,2.127241241,2.25628879,2.482284959,0
krt10,1.279608426,5.482081282,2.85640425,2.884288105,0.854801526,0.34285006,1.040458264,2.250763459,0.233209313,0.703003574,0.274871681,1.084051052,1.892079776,0.909883405,0
cyth1,3.198963431,2.424537616,3.935738376,2.097167216,3.22493258,3.158455967,4.341730843,3.308197062,3.520698379,3.038288608,3.333807242,4.400940659,4.304789199,4.009163506,0
cacnb1,11.69539589,2.605113477,1.955642586,1.149185651,1.546486215,2.166943053,1.715033618,0.370477879,0.62465461,0.648166487,0.621056535,0.449882271,0.429168333,0.337681151,0
rpl19,0.906880129,1.396156129,1.062518873,0.933777345,0.26847357,1.265856341,0.810834355,1.413562584,1.159960654,1.482680191,1.213011966,0.996185826,0.864150968,1.010272534,0
septin9,1.016704861,0.903650362,0.744827311,0.803478954,0.463950553,0.582628489,0.536133662,1.281357627,1.850065061,2.075315639,1.928686007,1.523147082,1.424637587,1.458724107,0
yars1,0.491152974,1.23531009,0.831902603,0.809212059,0.406395527,0.283049888,0.434306935,2.94864184,3.890736346,4.20502123,4.200346917,2.447233127,2.250347663,2.432020959,0
srsf4,6.520844712,19.4949837,13.54063571,14.32000773,8.152797277,4.975629414,10.44138249,2.48967928,2.374926763,2.304284805,1.87641117,1.679230887,1.605830192,2.163613254,0
srrm1,0.635282727,0.447625177,0.593439772,0.170508117,1.445467164,0.319525815,0.171694801,0.118663683,0.678908721,0.117129334,0.230546233,0.305531842,0.095633597,0,0
gosr2,0.026743815,0.399423544,0.583264225,0.082131319,0.251976259,0.089066652,0,0.06197034,0.118868911,0,0.090303368,0,0.043082093,0.106233644,0
elavl4,2.049701314,4.332101766,3.834264705,3.467539472,2.628453423,1.837387616,1.287271622,1.711844811,1.254887669,1.490292766,1.784724025,1.364261959,1.639737932,1.439195232,0
dmd,0.498094928,1.227683324,0.58053866,0.547474879,0.883964638,0.283582041,0.220486304,0.238635059,0.321027196,0.54505497,0.253662689,0.300850965,0.079141083,0.220712987,0
sec24a,0,0.995498981,1.151133441,0.45017934,0.190503424,0.068030893,0,0.396577469,0.902647557,0.623730375,0.659897071,0.738599884,0.545337806,0.562908678,0
srp68,0.310932082,0.234416381,0.532619565,1.675848417,0.382944408,0.363019705,0,0.625863942,0.518140889,0.501219735,0.624184613,0.330588755,0.595420796,0.493877623,0
pcyt2,0,1.107470002,0.844079145,0.587521012,0.815496972,0,0.218723375,1.795394031,1.621190733,2.011125072,1.838020238,1.517259245,1.43788667,1.56940543,0
ralgapb,0.209888832,0.753228658,0.620311889,0.462402406,0.26960661,0.20544119,1.010230248,0.641139587,0.610200754,0.521325518,0.764342324,0.743078371,0.865384116,0.878066332,0
rptor,1.988939936,5.244365661,4.952931398,3.908930077,0.27004545,4.55917226,1.982033478,15.78630142,15.59704195,17.59659432,19.33417456,15.94798292,15.08378972,17.936635,0
ampd2,1.046979236,1.907859504,2.041813914,1.781191504,0.327761293,1.300942104,0.883914193,5.442141356,4.917802941,5.4617963,5.523891449,4.308787939,4.926280129,4.955544166,0
tceal3,0.025947367,0.032713195,0.075690632,0.102433953,0.062381585,0.018842299,0,0.87043348,1.320262972,1.385083061,1.106428677,1.065052142,0.912262978,0.627946254,0
gpm6b,16.71398957,12.44811926,21.25278879,50.33831875,22.03231616,9.79582385,12.05864953,0.285240718,1.206720821,1.176466496,0.339868816,0.576600548,0.301204599,1.181098148,0
cstf2,0,0.68653334,0.527426504,0.50216869,0.30458667,0.10500992,0,0.482750438,0.357910945,0.492117826,0.249753119,0.383902089,0.617538418,0.468578701,0
gripap1,0.367898628,0.251131164,0.297416965,0.200204039,0.169137091,0.116290401,0.204368896,0.756697589,0.510553789,0.644959453,0.789068617,0.580828785,0.661780031,0.754129479,0
fhl1,0.055217191,0.144238538,0.163480202,0.119784835,0.135893812,0,0.231759824,1.805744035,1.018078136,1.642536174,1.235170649,0.907998055,0.857002254,1.15322781,0
l1cam,6.532148751,3.385462807,4.751580353,3.410220736,4.112379632,5.31077194,1.737053523,0.752279006,1.204806405,1.002026223,0.501972413,0.930283167,0.366116648,0.718439668,0
huwe1,0.823989016,1.123287923,1.00498013,0.947628373,0.946431377,0.617251925,0.522808079,2.38940489,1.75289712,1.939060992,2.039840886,2.942547555,2.92964016,2.988099864,0
map7d2,0.37434949,0.694134632,0.31036986,0.574044894,0.341535087,0.063307489,0.35139848,0.650317283,0.476855449,0.507210672,0.609300123,0.592671154,0.610721503,0.517513298,0
nlgn3,4.178725045,2.416171572,5.434609107,3.141414433,4.951281868,5.016165867,2.705259835,1.653305437,1.026965651,0.991231466,0.635279006,0,0.418865945,0.586763697,0
madd,0.765289943,0.73952797,1.395225074,1.549158975,1.197828258,0.726950448,0,3.278561117,2.228264878,2.668725994,3.062287827,3.075296416,3.589646705,3.883597225,0
eftud2,1.275076612,4.198445271,3.553768175,2.645502479,1.877988088,1.635108713,2.423915851,0.549666477,0.546951281,0.436381812,0.548759059,0.591091472,0.477052345,0.476644982,0
dgkz,0.475229584,0.381279139,0.176083889,0.480123208,0.439229424,0.527871998,0,1.447800303,0.679791164,0.803385643,0.901778809,1.47566196,1.001763822,1.312552713,0
cnksr2,0.323934775,1.598169184,0.889369279,0.74670463,2.739098146,0.885687914,1.340164031,0.55824686,0.728064047,0.801863692,0.772639883,0.896092524,1.044215695,1.085917548,0
abca2,13.13851103,13.2475929,4.43137468,154.0964388,29.1788112,216.7682413,0,40.46450959,71.56970726,83.88074566,116.8255057,113.7973683,0,86.17286977,0
nsmf,2.356291462,0.959857686,1.533858903,0.975118754,0.560208326,1.370113537,0,0.940219226,0,1.840149853,1.330420892,2.098434622,1.229621185,1.271822503,0
nmt2,0.474644022,0.031825712,3.538405366,1.137304341,0.87435025,0.407034591,0,2.419940487,2.328662918,1.947036169,2.155979418,2.356210745,2.666477322,2.362546918,0
